iter	Passed	Remaining
0	4	417
1	7	351
2	10	348
3	13	326
4	17	337
5	21	343
6	27	364
7	31	360
8	35	355
9	38	344
10	41	334
11	46	341
12	49	332
13	63	391
14	66	377
15	70	369
16	74	364
17	77	353
18	82	352
19	86	346
20	91	344
21	95	337
22	99	334
23	102	324
24	106	319
25	126	359
26	131	354
27	134	345
28	137	335
29	141	329
30	143	320
31	146	311
32	149	303
33	152	296
34	156	290
35	159	283
36	162	275
37	164	268
38	167	261
39	170	255
40	173	249
41	175	242
42	178	236
43	181	230
44	185	226
45	188	221
46	191	215
47	194	210
48	197	205
49	200	200
50	204	196
51	208	192
52	210	187
53	213	182
54	216	177
55	220	172
56	223	168
57	226	164
58	230	160
59	233	155
60	237	151
61	239	146
62	242	142
63	245	138
64	248	133
65	251	129
66	254	125
67	258	121
68	261	117
69	264	113
70	267	109
71	270	105
72	273	101
73	276	97
74	279	93
75	282	89
76	286	85
77	293	82
78	301	80
79	304	76
80	307	72
81	309	67
82	312	63
83	318	60
84	321	56
85	323	52
86	326	48
87	329	44
88	332	41
89	335	37
90	338	33
91	341	29
92	343	25
93	349	22
94	365	19
95	370	15
96	372	11
97	375	7
98	378	3
99	382	0
